gstin,invoice_no,vendor_name,amount,tax_rate,date
19SYNHH8901J124,CHALLENGE-2024-2001,NovaTech Subsidiary Unit,161864.05,18.0,2024-02-13
24SYNAE4567I1Z3,CHALLENGE-2024-2002-A,Astra Global Logistics Pvt Ltd,35588.52,18.0,2024-02-23
27SYNZC2345K1Z5,CHALLENGE-2024-2003,Zenith Consumer Products Pvt Ltd,33067.44,18.0,2024-03-04
27SYNTC1234A1Z5,DIFF-PUR-4,NovaTech Solutions Pvt Ltd,92003.58,18.0,2024-02-19
29SYNCF9999Z1ZX,CHALLENGE-2024-2005,Conflicting Vendor Entity,99235.48500000002,12.0,2024-04-14
27SYNGG0123H1Z2,CHALLENGE-2024-2006,GreenGrid Infrastructure Pvt Ltd,53965.97,18.0,2024-02-05
27SYNGG0123H1Z2,CHALLENGE-2024-2006-BATCH2,GreenGrid Infrastructure Pvt Ltd,53965.97,18.0,2024-03-01
27SYNBP9012C1Z7,CHALLENGE-AMB-1-7,BluePeak Technologies Pvt Ltd,85348.99,18.0,2024-02-06
27SYNBP9012C1Z7,CHALLENGE-AMB-2-7,BluePeak Technologies Pvt Ltd,85348.99,18.0,2024-02-06
27SYNSA0123M1Z7,CHALLENGE-2024-2009,Sterling Auto Components Ltd,51265.12,18.0,2024-04-01
27SYNSA0123M1Z7,CHALLENGE-2024-2010,Sterling Auto Components Ltd,81564.3,18.0,2024-02-26
29SYNVR5678B126,CHALLENGE-2024-2011,NovaTech Subsidiary Unit,89066.65,18.0,2024-02-28
27SYNAP3456D1Z8,CHALLENGE-2024-2012-A,Apex Retail Network Pvt Ltd,47822.52,18.0,2024-02-08
19SYNHH8901J1Z4,CHALLENGE-2024-2013,Horizon Hospitality & FMCG Ltd,46251.38,18.0,2024-03-15
27SYNTC1234A1Z5,DIFF-PUR-14,NovaTech Solutions Pvt Ltd,77000.01,18.0,2024-02-18
29SYNCF9999Z1ZX,CHALLENGE-2024-2015,Conflicting Vendor Entity,122511.22499999999,12.0,2024-04-15
27SYNQO6789G1Z1,CHALLENGE-2024-2016,Quantum Office Supplies Pvt Ltd,80925.56,18.0,2024-03-14
27SYNQO6789G1Z1,CHALLENGE-2024-2016-BATCH2,Quantum Office Supplies Pvt Ltd,80925.56,18.0,2024-04-08
24SYNSH4567N1Z8,CHALLENGE-AMB-1-17,Solaris Healthcare & Pharma Ltd,47598.85,18.0,2024-03-01
24SYNSH4567N1Z8,CHALLENGE-AMB-2-17,Solaris Healthcare & Pharma Ltd,47598.85,18.0,2024-03-01
29SYNSL2345F1Z0,CHALLENGE-2024-2019,Silverline Components Pvt Ltd,71219.99,18.0,2024-04-26
27SYNOI7890E1Z9,CHALLENGE-2024-2020,Orion Industrial Services Pvt Ltd,147161.65,18.0,2024-03-08
27SYNTC1234A125,CHALLENGE-2024-2021,NovaTech Subsidiary Unit,41675.09,18.0,2024-02-28
29SYNVR5678B1Z6,CHALLENGE-2024-2022-A,Vertex Business Systems Pvt Ltd,31460.9,18.0,2024-02-10
27SYNMD6789L1Z6,CHALLENGE-2024-2023,Matrix Digital Services Pvt Ltd,111921.54,18.0,2024-02-24
27SYNTC1234A1Z5,DIFF-PUR-24,NovaTech Solutions Pvt Ltd,39282.81,18.0,2024-03-02
29SYNCF9999Z1ZX,CHALLENGE-2024-2025,Conflicting Vendor Entity,94838.685,12.0,2024-05-03
24SYNSH4567N1Z8,CHALLENGE-2024-2026,Solaris Healthcare & Pharma Ltd,125966.46,18.0,2024-02-12
24SYNSH4567N1Z8,CHALLENGE-2024-2026-BATCH2,Solaris Healthcare & Pharma Ltd,125966.46,18.0,2024-03-08
27SYNZC2345K1Z5,CHALLENGE-AMB-1-27,Zenith Consumer Products Pvt Ltd,169348.21,18.0,2024-02-01
27SYNZC2345K1Z5,CHALLENGE-AMB-2-27,Zenith Consumer Products Pvt Ltd,169348.21,18.0,2024-02-01
24SYNAE4567I1Z3,CHALLENGE-2024-2029,Astra Global Logistics Pvt Ltd,156478.81,18.0,2024-04-25
24SYNSH4567N1Z8,CHALLENGE-2024-2030,Solaris Healthcare & Pharma Ltd,123446.48,18.0,2024-02-08
19SYNHH8901J124,CHALLENGE-2024-2031,NovaTech Subsidiary Unit,145489.23,18.0,2024-03-10
27SYNSA0123M1Z7,CHALLENGE-2024-2032-A,Sterling Auto Components Ltd,13992.07,18.0,2024-03-12
27SYNBP9012C1Z7,CHALLENGE-2024-2033,BluePeak Technologies Pvt Ltd,93627.37,18.0,2024-02-13
27SYNTC1234A1Z5,DIFF-PUR-34,NovaTech Solutions Pvt Ltd,85562.88,18.0,2024-03-07
29SYNCF9999Z1ZX,CHALLENGE-2024-2035,Conflicting Vendor Entity,37826.505,12.0,2024-04-09
27SYNBP9012C1Z7,CHALLENGE-2024-2036,BluePeak Technologies Pvt Ltd,67564.35,18.0,2024-02-20
27SYNBP9012C1Z7,CHALLENGE-2024-2036-BATCH2,BluePeak Technologies Pvt Ltd,67564.35,18.0,2024-03-16
29SYNVR5678B1Z6,CHALLENGE-AMB-1-37,Vertex Business Systems Pvt Ltd,102418.28,18.0,2024-02-04
29SYNVR5678B1Z6,CHALLENGE-AMB-2-37,Vertex Business Systems Pvt Ltd,102418.28,18.0,2024-02-04
27SYNAP3456D1Z8,CHALLENGE-2024-2039,Apex Retail Network Pvt Ltd,123993.44,18.0,2024-03-29
29SYNSL2345F1Z0,CHALLENGE-2024-2040,Silverline Components Pvt Ltd,58075.1,18.0,2024-02-06
